director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
Haile Gerima,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Devonshire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theodore Melfi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Schwochow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Shankar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Dugan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Stewart,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Luketic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Nolfi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Spielberg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeannot Szwarc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Alves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Sargent,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Espinosa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Antoine Fuqua,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Toshiya Shinohara,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toshiya Shinohara,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Masahiko Murata,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hajime Kamegaki,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Masahiko Murata,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hirotsugu Kawasaki,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Toshiyuki Tsuru,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tensai Okamura,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kemi Adetiba,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Nicolas-Troyan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JJC Skillz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Funke Akindele,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice Waddington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raja Gosnell,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Kijak,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lijo Jose Pellissery,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David de Vos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rahul Rawail,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jane Campion,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nagesh Kukunoor,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shanker Raman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jane Campion,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vidhu Vinod Chopra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Rosman,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasse Hallström,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ridley Scott,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Neill Blomkamp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Phillip Noyce,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renny Harlin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anthony Minghella,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
