director,rating
Haile Gerima,TV-MA
Andy Devonshire,TV-14
Theodore Melfi,PG-13
Christian Schwochow,TV-MA
S. Shankar,TV-14
Dennis Dugan,PG-13
Scott Stewart,PG-13
Robert Luketic,PG-13
George Nolfi,PG-13
Steven Spielberg,PG
Jeannot Szwarc,PG
Joe Alves,PG
Joseph Sargent,PG-13
Daniel Espinosa,R
Antoine Fuqua,R
Toshiya Shinohara,TV-14
Toshiya Shinohara,TV-PG
Masahiko Murata,TV-14
Hajime Kamegaki,TV-PG
Masahiko Murata,TV-PG
Hirotsugu Kawasaki,TV-PG
Toshiyuki Tsuru,TV-PG
Tensai Okamura,TV-PG
Kemi Adetiba,TV-MA
Cedric Nicolas-Troyan,R
JJC Skillz,TV-MA
Funke Akindele,TV-MA
Alice Waddington,TV-MA
Raja Gosnell,PG
Stephen Kijak,TV-MA
Lijo Jose Pellissery,TV-14
David de Vos,G
Rahul Rawail,TV-14
Jane Campion,PG
Nagesh Kukunoor,TV-PG
Shanker Raman,TV-14
Jane Campion,R
Vidhu Vinod Chopra,TV-14
Mark Rosman,PG
Lasse Hallström,PG-13
Ridley Scott,R
Neill Blomkamp,R
Phillip Noyce,PG-13
Renny Harlin,R
Anthony Minghella,R
Simon Wincer,PG
Spike Lee,R
Sebastián Schindel,TV-MA
Steven C. Miller,R
Richard LaGravenese,PG-13
Martin Campbell,PG-13
Reginald Hudlin,R
George Jackson,R
Doug McHenry,R
Eric Meza,R
Michael Martin,R
Michael Rymer,R
Andrew Lau Wai-keung,TV-14
Alan Mak,TV-14
Brett Weiner,TV-MA
Jim Henson,PG
Gary Winick,PG
Danishka Esterhazy,TV-14
Troy Byer,PG-13
Pang Ho-cheung,TV-MA
Tim Burton,PG-13
Reginald Hudlin,PG-13
David Zucker,R
Kinka Usher,PG-13
Sergio Leone,R
Matthew O'Callaghan,PG
Todd Wilderman,PG
Bobby Farrelly,PG
Peter Farrelly,PG
Wolfgang Petersen,PG-13
Peter Spirer,R
Michael Carney,PG-13
Richard Linklater,PG-13
Amy Rice,PG-13
Randal Kleiser,R
Michael Ritchie,PG-13
J. Lee Thompson,TV-14
Evan Goldberg,R
Seth Rogen,R
Tom Shadyac,PG-13
Malcolm D. Lee,PG-13
Wolfgang Petersen,R
Ramzy Bedia,TV-MA
Éric Judor,TV-MA
Sharan Koppisetty,TV-14
Taylor Sheridan,R
Sachin Yardi,TV-14
Saurabh Kabra,TV-14
Partho Mitra,TV-14
Santram Varma,TV-14
Anil V. Kumar,TV-14
Anurag Basu,TV-14
Sangeeth Sivan,TV-MA
Umesh Ghadge,TV-MA
Sachin Yardi,TV-MA
David Dhawan,TV-14
Dibakar Banerjee,TV-MA
Apoorva Lakhia,TV-14
Milan Luthria,TV-14
Pawan Kripalani,TV-MA
Bhushan Patel,TV-MA
Apoorva Lakhia,TV-MA
Raj Nidimoru,TV-14
Krishna D.K.,TV-14
Angel Kristi Williams,TV-MA
Roger Donaldson,R
Christopher Alender,TV-MA
David Oyelowo,PG
Brian Andrew Mendoza,R
Drake Doremus,PG-13
Mani Ratnam,TV-14
Paakhi Tyrewala,TV-PG
Steve Brill,R
Ferdinando Cito Filomarino,TV-MA
Juan Carlos Medina,TV-MA
Inma Torrente,TV-MA
Julián Gaviria,TV-MA
Steven Yamamoto,TV-PG
Charles Uwagbai,TV-14
Julián Hernández,TV-MA
Vince Marcello,TV-14
Jonathan Teplitzky,R
Dustin Hoffman,PG-13
Adze Ugah,TV-MA
Quoc Bao Tran,PG-13
Bejoy Nambiar,TV-MA
Priyadarshan,TV-MA
Karthik Narain,TV-MA
Vasanth Sai,TV-MA
Karthik Subbaraj,TV-MA
Arvind Swamy,TV-MA
Rathindran R Prasad,TV-MA
Sarjun,TV-MA
Gautham Vasudev Menon,TV-MA
Kayode Kasum,TV-MA
Just Philippot,TV-14
Kirk DeMicco,PG
Brandon Jeffords,PG
Rohit Shetty,TV-14
Alejandro Doria,TV-MA
Laura Fairrie,TV-14
Marcelo Piñeyro,TV-MA
Izu Ojukwu,TV-PG
Peter Winther,TV-MA
Susan Lacy,TV-MA
James Mangold,R
Chineze Anyaene,TV-MA
Hsu Fu-chun,TV-14
Brian Levant,PG
Rod Daniel,PG
Robert Zemeckis,PG-13
Todor Chapkanov,R
Steven Spielberg,PG-13
Phil Lord,PG
Christopher Miller,PG
John Hughes,PG-13
Justin Baldoni,PG-13
Joe Roth,R
Mark Helfrich,R
Christopher Nolan,PG-13
Paul Thomas Anderson,R
Nick Castle,PG-13
Howard Zieff,PG-13
Howard Zieff,PG
David Feiss,PG
David Gordon Green,R
Jorge Blanco,PG
Zara Hayes,PG-13
Gary Ross,PG-13
Clint Eastwood,PG-13
Trey Parker,R
Kelly Fremon Craig,R
Tom Elkins,R
Tony Scott,R
Brad Furman,R
Sylvain White,PG-13
Brad Anderson,R
Irwin Winkler,PG-13
Garry Marshall,PG-13
Najwa Najjar,TV-14
Michelle Bello,TV-PG
Daniel Markowicz,TV-MA
Glen Winter,TV-14
Ram Gopal Varma,TV-MA
Yuval Adler,TV-MA
Quentin Tarantino,R
Clay Glen,PG
Augustine Frizzell,TV-MA
Rajiv Chilaka,TV-Y7
Ainsley Gardiner,TV-MA
Briar Grace-Smith,TV-MA
Seyi Babatope,TV-14
Morgan Ingari,TV-MA
Abdulaziz Alshlahei,TV-14
Edward Drake,R
Sita Likitvanichkul,TV-MA
Jetarin Ratanaserikiat,TV-MA
Apirak Samudkitpaisan,TV-MA
Thanabodee Uawithya,TV-MA
Adirek Wattaleela,TV-MA
Sofia Coppola,R
Colin Trevorrow,PG-13
Bill Condon,PG-13
David Slade,PG-13
Chris Weitz,PG-13
Catherine Hardwicke,PG-13
Hadrah Daeng Ratu,TV-PG
Ash Brannon,PG
Chris Buck,PG
Roberto De Feo,TV-MA
Paolo Strippoli,TV-MA
Semi Chellas,TV-MA
Nima Nourizadeh,R
Jericca Cleland,PG
Kevin Munroe,PG
Ahmed Siddiqui,TV-14
Hallie Meyers-Shyer,PG-13
Scott Speer,PG-13
Barry Levinson,R
Camille Delamarre,PG-13
Mahmood Ali-Balogun,TV-14
Jan Holoubek,TV-MA
Christine Luby,TV-G
Yeo Siew Hua,TV-MA
Hardik Mehta,TV-14
Rajveer Singh Maan,TV-14
Harpeet Singh,TV-14
Youssef Chahine,TV-MA
Saw Teong Hin,TV-PG
Nik Amir Mustapha,TV-PG
M.S. Prem Nath,TV-PG
Rano Karno,TV-G
Pramod Pawar,TV-14
Naresh Saigal,TV-14
Vinil Mathew,TV-MA
Ramsey Nouah,TV-MA
Bong Joon Ho,R
Kim Tae-hyung,TV-14
Michael Spierig,PG-13
Peter Spierig,PG-13
Ernie Barbarash,R
Jay Roach,PG-13
McG,PG-13
Frank Marshall,PG-13
Nick Castle,PG
Victor Vu,TV-14
Joel Hopkins,PG-13
John Stevenson,PG
Mark Osborne,PG
Jennifer Yuh Nelson,PG
Greg Berlanti,PG-13
Garth Davis,R
Rob Marshall,PG-13
Martin Brest,R
Paul W.S. Anderson,PG-13
Ivan Reitman,R
Joel Gallen,R
Claire McCarthy,PG-13
Trevor Nunn,R
Gabriele Muccino,PG-13
Jim Field Smith,R
Chris Koch,PG
J.J. Abrams,PG-13
Rob Minkoff,PG
Lynn Shelton,R
Adam McKay,PG-13
Anton Corbijn,R
Robin Bissell,PG-13
David Fincher,R
John G. Avildsen,PG
Alan Parker,R
Walter Hill,R
Stephen Frears,PG-13
Bryan Bertino,R
Phil Alden Robinson,PG-13
Florian Henckel von Donnersmarck,PG-13
Len Wiseman,R
Måns Mårlind,R
Björn Stein,R
Patrick Tatopoulos,R
Robert O. Peters,TV-MA
Vincent Ward,PG-13
Gregory Nava,R
Matt Thompson,TV-MA
Matt Aselton,R
Andrew Dominik,R
Anissa Bonnefont,TV-14
Bahij Hojeij,TV-MA
Jonathan Hensleigh,PG-13
Justin P. Lange,R
